coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,hemisphere
533,1838.9266204021,2126.54249031747,114,128,216,right
533,2114.60411294427,2240.00974811743,133,116,216,right
534,1751.82851406269,2433.38352549484,106,99,217,right
534,1862.09951107956,2529.27134898777,113,90,218,right
535,1923.62753115419,2377.44896179063,118,103,216,right
535,1922.02940076264,2364.66391865824,118,105,216,right
535,1889.26772773589,2381.4442877695,116,104,217,right
535,1714.27244986129,2454.95828578075,103,99,218,right
535,1679.91264644299,2489.31808919905,101,95,218,right
535,2055.47328845696,2342.29009317656,128,107,216,right
535,2035.4966585626,2343.08915837233,127,107,216,right
535,1963.58079094291,2352.67794072162,121,106,216,right
536,1801.3705562007,2546.05171809903,108,89,218,right
536,1793.37990424296,2534.06574016241,108,91,218,right
536,1753.42664445424,2497.30874115679,105,93,218,right
536,1838.12755520633,2605.18254258634,110,84,218,right
536,1842.92194638097,2590.00030386662,110,85,218,right
536,1868.49203264575,2563.63115240607,112,88,218,right
536,1895.66024930208,2550.84610927368,114,89,218,right
536,1882.87520616969,2458.15454656384,114,96,217,right
536,1874.88455421195,2399.82278727231,115,102,217,right
536,1831.73503364013,2292.74805103854,113,111,216,right
536,1995.54339877388,2177.68266284703,126,122,215,right
536,1803.76775178803,2498.90687154834,109,93,218,right
536,1707.8799282951,2427.79006912442,103,101,217,right
536,1715.87058025284,2472.53772008778,103,96,218,right
537,1806.96401257112,2464.54706813004,109,97,216,right
537,1814.15559933309,2466.94426371736,109,97,216,right
537,1890.86585812744,2364.66391865824,116,105,215,right
537,1894.06211891053,2406.21530883851,115,101,216,right
537,1895.66024930208,2477.33211126243,115,95,216,right
537,1882.07614097392,2508.49565389763,114,92,216,right
537,1916.43594439222,2578.01432593001,116,86,217,right
537,1849.31446794717,2535.66387055396,112,90,217,right
537,1827.73970766126,2576.41619553846,109,87,217,right
537,1688.70236359651,2513.29004507228,101,93,217,right
537,1943.60416104855,2249.59853046672,121,116,214,right
538,1933.21631350348,2403.01904805541,118,101,215,right
538,1946.80042183165,2384.6405485526,120,103,215,right
538,1966.77705172601,2392.63120051034,120,102,215,right
538,1759.02010082466,2436.57978627794,106,99,216,right
538,1750.23038367114,2518.8835014427,105,92,217,right
538,1872.48735862463,2552.44423966522,113,88,217,right
539,1945.2022914401,2482.92556763285,119,94,215,right
539,1902.85183606405,2449.36482941033,116,97,215,right
539,1922.82846595841,2422.99567794977,117,100,214,right
539,1770.2070135655,2488.51902400327,106,94,216,right
539,1805.36588217958,2467.74332891314,109,96,215,right
539,1818.94999050774,2582.00965190888,109,85,216,right
539,1830.93596844436,2570.82273916804,110,87,216,right
540,1845.3191419683,2486.12182841595,112,94,215,right
540,1794.97803463451,2493.31341517792,108,94,215,right
540,1786.18831748099,2531.66854457509,107,91,216,right
540,1897.25837969363,2538.06106614129,114,89,215,right
540,1909.24435763025,2578.01432593001,115,86,216,right
540,1973.96863848797,2258.38824762024,123,115,213,right
540,1920.43127037109,2250.3975956625,119,115,213,right
540,1692.69768957538,2483.72463282863,101,95,216,right
541,1830.13690324858,2516.48630585538,111,91,216,right
541,1854.10885912181,2612.37412934831,111,83,216,right
541,1875.68361940772,2509.29471909341,114,92,215,right
541,1980.36116005417,2464.54706813004,121,96,215,right
541,2005.93124631895,2120.94903394705,126,127,212,right
542,1753.42664445424,2578.01432593001,105,87,215,right
542,1766.21168758663,2603.58441219479,105,85,215,right
542,1756.62290523734,2493.31341517792,105,94,214,right
542,1909.24435763025,2419.0003519709,116,100,213,right
542,1982.75835564149,2385.43961374837,122,103,213,right
542,2002.73498553585,2155.30883736534,126,124,211,right
542,1835.730359619,2120.94903394705,114,128,211,right
543,1892.46398851899,2566.82741318916,114,86,215,right
543,1884.47333656124,2607.57973817366,113,83,215,right
543,1830.13690324858,2538.06106614129,110,89,215,right
543,1848.51540275139,2556.4395656441,111,88,215,right
543,1813.35653413732,2576.41619553846,108,87,215,right
543,1751.02944886692,2550.84610927368,105,89,215,right
543,1918.03407478377,2331.90224563149,118,108,213,right
543,1946.00135663587,2308.72935495403,120,110,212,right
544,1858.10418510069,2359.86952748359,114,105,213,right
544,1879.6789453866,2371.05644022443,115,105,213,right
544,1878.87988019082,2358.27139709204,115,106,213,right
544,1854.90792431759,2390.23400492302,113,102,213,right
544,1854.90792431759,2543.65452251171,111,89,215,right
544,1833.33316403168,2499.70593674411,111,93,214,right
544,1910.8424880218,2578.01432593001,115,86,214,right
544,1938.01070467813,2514.08911026805,117,91,214,right
544,1903.65090125983,2609.97693376098,115,82,215,right
544,1925.22566154574,2108.96305601043,120,129,211,right
544,1715.07151505707,1935.56590852738,107,146,211,right
545,1882.87520616969,2457.35548136807,114,96,213,right
545,1737.44534053875,2545.25265290325,104,90,214,right
545,1890.86585812744,2582.80871710465,114,85,214,right
545,1930.81911791616,2258.38824762024,120,115,211,right
545,1911.64155321757,2260.78544320757,118,115,211,right
545,1950.79574781052,2284.7573990808,120,112,211,right
545,1979.5620948584,2319.1172024991,122,108,211,right
545,1948.39855222319,2345.48635395965,120,107,212,right
546,1841.32381598942,2510.89284948496,111,91,213,right
546,1850.91259833872,2422.99567794977,112,100,212,right
546,1912.44061841335,2519.68256663847,116,91,213,right
546,1924.42659634996,2570.02367397226,116,86,213,right
546,1993.14620318656,2394.22933090189,122,102,212,right
546,1990.74900759924,2418.20128677512,122,99,212,right
547,2089.83309187526,2355.87420150472,130,105,210,right
547,1962.78172574713,2514.08911026805,119,91,212,right
547,1976.3658340753,2559.63582642719,120,87,212,right
547,1873.2864238204,2513.29004507228,113,91,212,right
547,1751.02944886692,2532.46760977086,105,91,213,right
547,1707.08086309932,2500.50500193989,103,93,212,right
547,1682.30984203032,2505.29939311453,101,94,213,right
547,1975.56676887952,2252.79479124982,123,114,210,right
547,1922.82846595841,2103.36959964001,120,129,209,right
547,1936.41257428658,2100.97240405269,121,129,209,right
547,1809.36120815845,2525.27602300889,109,90,212,right
547,1850.11353314294,2601.98628180324,111,84,213,right
548,1783.79112189367,2497.30874115679,107,93,212,right
548,1852.51072873027,2436.57978627794,112,99,211,right
548,1863.69764147111,2405.41624364273,113,101,211,right
548,1935.6135090908,2472.53772008778,118,94,211,right
548,1849.31446794717,2568.42554358071,111,86,212,right
548,1870.0901630373,2550.0470440779,112,89,212,right
549,1833.33316403168,2578.01432593001,110,86,213,right
550,1842.1228811852,2507.69658870186,111,92,211,right
550,1756.62290523734,2504.50032791876,105,93,211,right
550,1771.00607876128,2522.0797622258,106,92,211,right
550,1873.2864238204,2160.10322853999,117,124,208,right
550,1899.65557528096,2148.91631579915,119,125,208,right
551,1784.59018708944,2515.6872406596,107,92,211,right
551,1784.59018708944,2549.24797888213,107,89,211,right
551,1954.40597742795,2033.2541648064,124,135,207,right
552,1795.39200346884,2571.02504156257,107,87,210,right
552,1730.66772261112,2563.03438960483,103,88,211,right
552,1923.24243479275,2361.66996026968,118,104,208,right
552,1928.83589116317,2352.08117792038,119,106,208,right
552,1959.2003686026,2336.0998740049,121,107,208,right
552,2031.91530141807,2360.07182987813,125,104,208,right
553,1917.64897842233,2069.21209861624,120,133,206,right
554,1914.45271763923,2037.24949078527,121,135,206,right
554,1969.58821614766,2402.42228525417,121,100,208,right
554,1994.35923721667,2382.44565535981,123,103,208,right
